insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (1, 'Morissa', 'Cleve', 'mcleve0@sourceforge.net', 1, 9);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (2, 'Goober', 'Eberdt', 'geberdt1@phpbb.com', 1, 9);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (3, 'Virgie', 'Drake', 'vdrake2@salon.com', 5, 1);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (4, 'Hernando', 'Rougier', 'hrougier3@mit.edu', 5, 2);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (5, 'Robert', 'Kemwal', 'rkemwal4@nba.com', 3, 1);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (6, 'Jocko', 'Beisley', 'jbeisley5@wordpress.com', 4, 1);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (7, 'Laurens', 'Littlejohns', 'llittlejohns6@opensource.org', 3, 3);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (8, 'Orv', 'Cookman', 'ocookman7@accuweather.com', 4, 3);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (9, 'Robinetta', 'Bonde', 'rbonde8@nhs.uk', 6, 11);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (10, 'Patrick', 'Stannis', 'pstannis9@blogspot.com', 1, 1);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (11, 'Baxie', 'Espasa', 'bespasaa@washingtonpost.com', 4, 13);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (12, 'Sammie', 'Twentyman', 'stwentymanb@dot.gov', 5, 14);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (13, 'Dannie', 'Hampshire', 'dhampshirec@discovery.com', 7, 12);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (14, 'Vale', 'Kloster', 'vklosterd@nature.com', 6, 2);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (15, 'Kelly', 'Pallas', 'kpallase@upenn.edu', 6, 12);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (16, 'Lemmie', 'Crawcour', 'lcrawcourf@vistaprint.com', 4, 5);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (17, 'Henrietta', 'Stemson', 'hstemsong@booking.com', 3, 7);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (18, 'Caitrin', 'Cristol', 'ccristolh@de.vu', 3, 12);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (19, 'Hiram', 'Hattersley', 'hhattersleyi@symantec.com', 6, 4);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (20, 'Alfie', 'Ferronet', 'aferronetj@house.gov', 7, 8);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (21, 'Minnnie', 'MacKellar', 'mmackellark@1688.com', 1, 13);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (22, 'Link', 'Bengefield', 'lbengefieldl@washington.edu', 7, 14);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (23, 'Eddie', 'McCallum', 'emccallumm@simplemachines.org', 7, 13);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (24, 'Ethelda', 'Aloway', 'ealowayn@free.fr', 2, 4);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (25, 'Paulo', 'Clementi', 'pclementio@cbslocal.com', 7, 2);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (26, 'Warner', 'O''Deoran', 'wodeoranp@scientificamerican.com', 2, 2);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (27, 'Shaughn', 'McReath', 'smcreathq@nyu.edu', 6, 1);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (28, 'Noby', 'Slocket', 'nslocketr@nsw.gov.au', 1, 8);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (29, 'Lexi', 'Brou', 'lbrous@springer.com', 6, 10);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (30, 'Giustino', 'Middlemass', 'gmiddlemasst@seesaa.net', 5, 6);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (31, 'Janetta', 'Attarge', 'jattargeu@tripadvisor.com', 1, 11);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (32, 'Georgie', 'Bernardelli', 'gbernardelliv@artisteer.com', 7, 13);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (33, 'Halie', 'Penwarden', 'hpenwardenw@reverbnation.com', 7, 9);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (34, 'Wandie', 'Arlow', 'warlowx@joomla.org', 5, 4);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (35, 'Eleanor', 'Arlow', 'earlowy@photobucket.com', 2, 7);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (36, 'Nappie', 'Gherardi', 'ngherardiz@narod.ru', 1, 3);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (37, 'Carlynne', 'Malkie', 'cmalkie10@intel.com', 3, 3);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (38, 'Waite', 'Corneljes', 'wcorneljes11@ucoz.com', 7, 4);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (39, 'Fanchette', 'Lillywhite', 'flillywhite12@geocities.com', 7, 7);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (40, 'Mischa', 'Slack', 'mslack13@usatoday.com', 2, 3);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (41, 'Myca', 'Doe', 'mdoe14@mapy.cz', 1, 14);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (42, 'Bentley', 'Gernier', 'bgernier15@wp.com', 3, 2);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (43, 'Eldon', 'Kingsnoad', 'ekingsnoad16@arstechnica.com', 6, 8);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (44, 'Basia', 'Mixhel', 'bmixhel17@ftc.gov', 1, 14);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (45, 'Genni', 'McCosker', 'gmccosker18@issuu.com', 2, 3);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (46, 'Audrey', 'Bugdall', 'abugdall19@bing.com', 7, 4);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (47, 'Dagny', 'Scullard', 'dscullard1a@yandex.ru', 6, 14);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (48, 'Franni', 'Capelen', 'fcapelen1b@economist.com', 5, 3);
insert into zamestnanec (ID_zamestnanec, meno, priezvisko, email, id_zamestnanie, id_restauracia) values (49, 'Hester', 'Dorre', 'hdorre1c@bravesites.com', 3, 12);
